# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu Nov 16 16:49:49 2023
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN pl_masse:       Planet Mass [Earth Mass]
# COLUMN pl_masseerr1:   Planet Mass [Earth Mass] Upper Unc.
# COLUMN pl_masseerr2:   Planet Mass [Earth Mass] Lower Unc.
# COLUMN pl_masselim:    Planet Mass [Earth Mass] Limit Flag
# COLUMN pl_msinie:      Planet Mass*sin(i) [Earth Mass]
# COLUMN pl_msinieerr1:  Planet Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_msinieerr2:  Planet Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_msinielim:   Planet Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_cmasse:      Planet Mass*sin(i)/sin(i) [Earth Mass]
# COLUMN pl_cmasseerr1:  Planet Mass*sin(i)/sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_cmasseerr2:  Planet Mass*sin(i)/sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_cmasselim:   Planet Mass*sin(i)/sin(i) [Earth Mass] Limit Flag
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
#
loc_rowid,pl_name,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_msinie,pl_msinieerr1,pl_msinieerr2,pl_msinielim,pl_cmasse,pl_cmasseerr1,pl_cmasseerr2,pl_cmasselim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim
1,11 Com b,,,,,5434.70000,540.30000,-413.20000,0,,,,,,,,
2,11 Com b,,,,,6165.60000,476.70000,-476.70000,0,,,,,0.231000,0.005000,-0.005000,0
3,11 Com b,,,,,4914.89849,39.09289,-39.72855,0,,,,,0.238000,0.007000,-0.007000,0
4,11 UMi b,,,,,4684.81420,794.57500,-794.57500,0,,,,,0.080000,0.030000,-0.030000,0
5,11 UMi b,,,,,3432.40000,381.40000,-413.20000,0,,,,,,,,
6,11 UMi b,,,,,3337.07000,785.01000,-785.01000,0,,,,,0.080000,0.030000,-0.030000,0
7,14 And b,,,,,1131.15130,36.23244,-38.77507,0,,,,,0.000000,,,0
8,14 And b,,,,,1017.00000,127.10000,-190.70000,0,,,,,,,,
9,14 And b,,,,,1525.50000,,,0,,,,,0.000000,,,0
10,14 Her b,,,,,1474.67000,60.39000,-60.39000,0,,,,,0.369000,0.005000,-0.005000,0
11,14 Her b,,,,,1581.13800,,,0,,,,,0.359000,,,0
12,14 Her b,2559.47216,518.69596,-280.64248,0,,,,,,,,,0.373000,0.008000,-0.006000,0
13,14 Her b,,,,,1481.08780,47.67450,-47.67450,0,,,,,0.370000,0.000000,0.000000,0
14,14 Her b,,,,,1506.45000,19.07000,-19.07000,0,,,,,0.338000,0.011000,-0.011000,0
15,14 Her b,,,,,1541.46777,47.67426,-47.67426,0,,,,,0.367400,0.003500,-0.003800,0
16,14 Her b,,,,,1554.12000,,,0,,,,,0.370000,0.040000,-0.040000,0
17,14 Her b,,,,,1440.66300,,,0,,,,,0.357000,,,0
18,16 Cyg B b,,,,,556.83537,17.16273,-16.84491,0,,,,,0.683200,0.003100,-0.003100,0
19,16 Cyg B b,,,,,533.95440,47.67450,-47.67450,0,,,,,0.681000,0.017000,-0.017000,0
20,16 Cyg B b,,,,,476.70000,,,0,,,,,0.634000,0.082000,-0.082000,0
21,16 Cyg B b,,,,,533.93000,22.25000,-22.25000,0,,,,,0.689000,0.011000,-0.011000,0
22,16 Cyg B b,,,,,533.93000,22.25000,-22.25000,0,,,,,0.689000,0.011000,-0.011000,0
23,16 Cyg B b,,,,,565.73740,25.42640,-25.42640,0,,,,,0.680000,0.020000,-0.020000,0
24,17 Sco b,,,,,1373.01872,47.67426,-38.13941,0,,,,,0.060000,0.030000,-0.020000,0
25,18 Del b,,,,,3273.50000,,,0,,,,,0.080000,0.010000,-0.010000,0
26,18 Del b,,,,,2926.24614,50.85255,-24.47279,0,,,,,0.024000,0.007000,-0.018000,0
27,18 Del b,,,,,3127.30000,95.30000,-95.30000,0,,,,,,,,
28,1RXS J160929.1-210524 b,4000.00000,300.00000,-300.00000,0,,,,,,,,,,,,
29,1RXS J160929.1-210524 b,3000.00000,300.00000,-300.00000,0,,,,,,,,,,,,
30,1RXS J160929.1-210524 b,3000.00000,1000.00000,-700.00000,0,,,,,,,,,,,,
31,1RXS J160929.1-210524 b,2543.00000,1271.00000,-636.00000,0,,,,,,,,,,,,
32,24 Boo b,,,,,280.64248,11.44182,-13.66662,0,,,,,0.032000,0.039000,-0.023000,0
33,24 Boo b,,,,,289.22530,41.31790,-31.78300,0,,,,,0.042000,0.048000,-0.029000,0
34,24 Sex b,,,,,632.46000,82.63000,-120.77000,0,,,,,0.090000,0.140000,-0.060000,0
35,24 Sex c,,,,,273.32000,111.24000,-69.92000,0,,,,,0.290000,0.160000,-0.090000,0
36,2M0437 b,1271.31363,317.82841,-317.82841,0,,,,,,,,,,,,
